M,N,controlled_phase_gates,cutoff,d,elapsed_seconds,exact_controlled_phase_gates,exact_fiber_evaluation,m_shot_tv_union_bound,model,qft_operator_bound,sample_count,seed,split,tv_to_exact_same_model
8,77,0,0,3,0.005448999989312142,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,development,0.49918241344781383
8,77,6,1,3,0.004968082997947931,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,development,0.5857052737896404
8,77,9,2,3,0.005706041003577411,9,True,0.0,A_uniform_hard_box,0.0,12,2026071107,development,0.0
8,77,0,0,3,0.004910207993816584,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,development,0.5639479430821936
8,77,6,1,3,0.006113375013228506,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,development,0.5810760991212364
8,77,9,2,3,0.005288458021823317,9,True,0.0,B_exact_finite_discrete_gaussian,0.0,12,2026071107,development,0.0
8,91,0,0,3,0.005140791996382177,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,development,0.5376638234940211
8,91,6,1,3,0.005199125036597252,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,development,0.5392953547170287
8,91,9,2,3,0.005099333007819951,9,True,0.0,A_uniform_hard_box,0.0,12,2026071107,development,0.0
8,91,0,0,3,0.004969458968844265,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,development,0.42650297074761095
8,91,6,1,3,0.005216333956923336,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,development,0.44934724932086084
8,91,9,2,3,0.005171541997697204,9,True,0.0,B_exact_finite_discrete_gaussian,0.0,12,2026071107,development,0.0
8,143,0,0,3,0.0056045419769361615,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,development,0.5677591529578803
8,143,6,1,3,0.00565733399707824,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,development,0.6854607739627623
8,143,9,2,3,0.005953375017270446,9,True,0.0,A_uniform_hard_box,0.0,12,2026071107,development,0.0
8,143,0,0,3,0.005594625021331012,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,development,0.6248169015221761
8,143,6,1,3,0.0056794999982230365,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,development,0.6844115933548778
8,143,9,2,3,0.005815833050291985,9,True,0.0,B_exact_finite_discrete_gaussian,0.0,12,2026071107,development,0.0
8,2279,0,0,3,0.01346891699358821,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.23414502147247773
8,2279,6,1,3,0.013200499990489334,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.3311885595603981
8,2279,9,2,3,0.013383874960709363,9,True,0.0,A_uniform_hard_box,0.0,12,2026071107,heldout_exact,0.0
8,2279,0,0,3,0.013067667023278773,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.33973974126014705
8,2279,6,1,3,0.0132204580004327,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.36555523783695554
8,2279,9,2,3,0.013347458967473358,9,True,0.0,B_exact_finite_discrete_gaussian,0.0,12,2026071107,heldout_exact,0.0
8,2419,0,0,3,0.013050915964413434,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.23414502147247773
8,2419,6,1,3,0.013491332996636629,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.3311885595603981
8,2419,9,2,3,0.013277209014631808,9,True,0.0,A_uniform_hard_box,0.0,12,2026071107,heldout_exact,0.0
8,2419,0,0,3,0.013057374977506697,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.33973974126014705
8,2419,6,1,3,0.013194250001106411,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.36555523783695554
8,2419,9,2,3,0.013604999985545874,9,True,0.0,B_exact_finite_discrete_gaussian,0.0,12,2026071107,heldout_exact,0.0
8,2491,0,0,3,0.013102040975354612,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.23414502147247773
8,2491,6,1,3,0.013218334002885967,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.3311885595603981
8,2491,9,2,3,0.013333292037714273,9,True,0.0,A_uniform_hard_box,0.0,12,2026071107,heldout_exact,0.0
8,2491,0,0,3,0.013126166013535112,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.33973974126014705
8,2491,6,1,3,0.013254583987873048,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.36555523783695554
8,2491,9,2,3,0.013680333038792014,9,True,0.0,B_exact_finite_discrete_gaussian,0.0,12,2026071107,heldout_exact,0.0
8,2501,0,0,3,0.013393542030826211,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.23414502147247773
8,2501,6,1,3,0.013589042006060481,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.3311885595603981
8,2501,9,2,3,0.013743792020250112,9,True,0.0,A_uniform_hard_box,0.0,12,2026071107,heldout_exact,0.0
8,2501,0,0,3,0.013502957997843623,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.33973974126014705
8,2501,6,1,3,0.013575709017459303,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.36555523783695554
8,2501,9,2,3,0.013687167025636882,9,True,0.0,B_exact_finite_discrete_gaussian,0.0,12,2026071107,heldout_exact,0.0
8,2537,0,0,3,0.013402041979134083,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.23414502147247773
8,2537,6,1,3,0.01354270800948143,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.3311885595603981
8,2537,9,2,3,0.013786666968371719,9,True,0.0,A_uniform_hard_box,0.0,12,2026071107,heldout_exact,0.0
8,2537,0,0,3,0.013478290988132358,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.33973974126014705
8,2537,6,1,3,0.013566792011260986,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.36555523783695554
8,2537,9,2,3,0.014000041002873331,9,True,0.0,B_exact_finite_discrete_gaussian,0.0,12,2026071107,heldout_exact,0.0
8,2623,0,0,3,0.012378000013995916,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.23953154136718507
8,2623,6,1,3,0.012484958046115935,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.33341016327673134
8,2623,9,2,3,0.012638374988455325,9,True,0.0,A_uniform_hard_box,0.0,12,2026071107,heldout_exact,0.0
8,2623,0,0,3,0.012338083994109184,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.339746760545107
8,2623,6,1,3,0.01248379104072228,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.36555862002814155
8,2623,9,2,3,0.012673749995883554,9,True,0.0,B_exact_finite_discrete_gaussian,0.0,12,2026071107,heldout_exact,0.0
